batsman,Chennai Super Kings,Deccan Chargers,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad,Total
SW Billings,0,0,0,0,61,0,75,0,0,0,24,24,29,13,226
MR Marsh,13,37,13,7,32,0,5,38,0,35,0,0,24,21,225
K Goel,39,0,39,0,0,0,23,51,0,27,0,0,39,0,218
AA Jhunjhunwala,19,11,59,0,19,0,45,46,0,0,0,0,18,0,217
TM Head,0,0,2,30,11,0,75,49,0,0,2,6,0,30,205
PD Collingwood,0,51,0,0,4,0,55,2,0,16,0,0,75,0,203
SK Warne,33,44,31,0,39,2,34,8,0,0,0,0,7,0,198
SP Fleming,0,28,57,0,1,0,32,26,0,7,0,0,45,0,196
AS Raut,28,37,11,0,27,0,34,20,0,0,0,0,37,0,194
BJ Rohrer,4,0,0,0,49,0,10,0,20,64,0,0,46,0,193
Salman Butt,73,4,48,0,24,0,0,13,0,31,0,0,0,0,193
YV Takawale,19,5,14,0,0,0,85,0,0,69,0,0,0,0,192
MJ Guptill,0,0,98,9,0,0,12,36,0,0,0,0,9,25,189
Bipul Sharma,7,8,0,27,0,0,66,7,35,19,8,5,5,0,187
FY Fazal,21,44,0,0,45,16,47,10,0,0,0,0,0,0,183
AC Voges,20,0,15,0,45,0,45,28,0,0,0,0,28,0,181
AB Agarkar,23,15,56,0,10,0,0,24,0,39,0,0,12,0,179
MF Maharoof,0,19,0,0,22,0,12,48,0,45,0,0,31,0,177
SN Khan,50,0,1,0,15,0,0,28,0,46,0,2,0,35,177
DH Yagnik,25,9,0,0,10,0,26,81,12,0,0,0,7,0,170
CM Gautam,20,0,22,0,45,0,15,0,30,2,0,0,30,5,169
MN van Wyk,0,0,74,0,18,0,0,32,0,0,0,0,43,0,167
DW Steyn,20,0,19,0,15,0,22,33,15,38,0,0,3,1,166
PA Reddy,0,0,1,0,43,0,0,7,27,44,0,0,42,0,164
MP Stoinis,0,0,52,67,0,0,9,1,0,0,0,0,34,0,163
MN Samuels,34,4,0,1,51,0,0,5,0,0,27,0,34,5,161
RE van der Merwe,19,55,0,0,43,4,10,11,0,17,0,0,0,0,159
R McLaren,2,22,0,0,0,0,0,1,51,13,0,0,70,0,159
B Kumar,26,8,14,0,9,0,32,30,0,3,0,22,11,3,158
R Dhawan,28,0,8,0,14,0,37,20,0,4,0,11,24,7,153
MG Johnson,20,0,11,0,0,0,35,12,0,26,13,0,26,8,151
SM Pollock,17,31,49,0,22,0,0,0,0,0,0,0,28,0,147
S Vidyut,0,0,94,0,14,0,0,16,0,21,0,0,0,0,145
N Saini,7,5,15,0,0,0,0,47,0,2,0,0,64,0,140
Sachin Baby,0,0,12,0,33,0,16,25,0,0,2,0,0,49,137
S Anirudha,0,28,0,0,1,0,67,15,7,18,0,0,0,0,136
SB Styris,56,0,29,0,1,0,16,0,0,13,0,0,16,0,131
W Jaffer,50,49,10,0,0,0,6,7,0,8,0,0,0,0,130
Kamran Akmal,59,12,0,0,39,0,0,18,0,0,0,0,0,0,128
UT Khawaja,0,0,49,0,30,0,21,0,0,0,0,0,16,11,127
P Dogra,5,0,49,0,1,0,20,41,0,0,0,0,6,5,127
D Wiese,51,0,5,0,4,0,9,47,0,11,0,0,0,0,127
C de Grandhomme,0,0,1,0,11,0,0,29,0,0,36,0,31,18,126
M Morkel,2,23,0,1,33,0,6,33,1,4,0,0,23,0,126
MC Juneja,2,0,0,0,14,0,8,49,0,20,0,0,17,15,125
BB Samantray,0,0,0,0,10,0,5,0,39,69,0,0,2,0,125
BCJ Cutting,0,0,8,8,18,0,15,20,0,0,0,0,55,0,124
B Lee,6,14,27,0,0,2,7,29,0,30,0,0,9,0,124
AB McDonald,8,0,30,0,17,0,0,33,0,14,0,0,21,0,123
DL Vettori,3,3,21,0,5,0,36,0,0,30,0,0,23,0,121
Niraj Patel,2,0,4,0,57,0,14,40,0,0,0,0,4,0,121
AC Blizzard,0,1,37,0,15,0,51,0,6,0,0,0,10,0,120
RJ Harris,16,0,18,0,2,0,0,25,4,6,0,0,46,0,117
Misbah-ul-Haq,4,37,47,0,29,0,0,0,0,0,0,0,0,0,117
Z Khan,39,4,4,0,1,0,20,5,0,18,0,0,25,1,117
KK Cooper,0,0,34,0,13,0,5,30,0,0,0,0,8,26,116
M Kartik,29,10,12,0,0,0,0,35,0,8,0,0,17,2,113
MM Sharma,0,0,30,5,1,0,12,24,0,0,6,0,22,12,112
DJ Harris,15,0,19,0,30,0,0,0,0,0,0,0,47,0,111
LJ Wright,2,0,63,0,34,0,0,0,0,0,0,0,7,0,106
JDP Oram,0,41,3,0,30,0,0,13,0,3,0,0,16,0,106
RJ Quiney,28,0,10,0,7,0,7,51,0,0,0,0,0,0,103
V Shankar,0,0,0,63,0,0,22,16,0,0,0,0,0,0,101
MS Gony,4,15,19,0,9,0,42,0,0,6,0,0,4,0,99
SD Chitnis,11,17,41,0,15,0,0,6,9,0,0,0,0,0,99
MJ Clarke,0,41,0,0,0,0,14,14,0,16,0,0,13,0,98
CJ Ferguson,0,26,0,0,9,0,28,12,0,23,0,0,0,0,98
MA Starc,13,0,0,0,37,0,12,5,0,18,0,0,0,11,96
CR Brathwaite,0,0,0,11,12,0,40,0,0,0,0,20,2,10,95
UT Yadav,14,3,2,0,2,0,2,16,8,24,2,7,6,8,94
PR Shah,0,40,23,0,5,5,0,0,0,0,0,0,19,0,92
DJ Jacobs,0,32,1,0,10,12,0,0,0,15,0,0,22,0,92
RT Ponting,6,0,0,0,0,0,0,19,14,4,0,0,48,0,91
S Rana,6,0,15,0,18,0,37,0,0,3,0,0,0,12,91
DS Kulkarni,38,7,1,0,10,0,0,6,0,1,0,0,16,11,90
Iqbal Abdulla,3,0,7,33,0,12,0,26,0,1,0,0,0,6,88
SL Malinga,18,0,17,0,1,0,8,0,19,9,7,0,9,0,88
Ankit Sharma,45,0,1,25,0,0,1,5,0,0,0,0,10,0,87
AP Majumdar,0,0,0,0,0,0,17,0,0,39,0,0,31,0,87
RE Levi,50,3,1,0,0,0,0,0,0,29,0,0,0,0,83
Shahid Afridi,21,0,35,0,13,0,0,0,0,11,0,0,1,0,81
WPUJC Vaas,0,0,28,0,16,0,9,0,0,28,0,0,0,0,81
LA Carseldine,9,47,0,0,16,0,0,0,0,0,0,0,9,0,81
AD Mascarenhas,8,0,12,0,4,0,36,9,5,0,0,0,0,5,79
PJ Cummins,0,0,0,24,12,0,3,14,0,0,11,0,13,0,77
IR Jaggi,0,0,0,0,0,0,6,30,10,25,0,0,0,5,76
B Akhil,8,27,24,0,0,0,0,8,0,9,0,0,0,0,76
TR Birt,0,4,0,0,16,47,8,0,0,0,0,0,0,0,75
RR Sarwan,20,15,0,0,0,0,0,7,0,0,0,0,31,0,73
M Klinger,0,0,20,0,0,0,29,0,0,0,0,0,24,0,73
AA Bilakhia,12,0,32,0,0,0,0,0,0,3,0,0,22,0,69
RR Powar,37,0,3,0,0,0,3,10,0,6,0,0,8,0,67
R Sharma,1,0,14,0,3,10,0,28,0,10,0,0,0,0,66
Mohammad Hafeez,22,13,0,0,13,0,0,7,0,4,0,0,5,0,64
WD Parnell,0,16,10,0,2,1,10,22,0,2,0,0,0,0,63
Anirudh Singh,0,0,0,0,0,0,14,0,0,9,0,0,40,0,63
MJ McClenaghan,0,0,1,1,4,0,20,0,0,0,12,2,12,11,63
A Flintoff,0,0,16,0,0,0,0,24,0,0,0,0,22,0,62
JJ Roy,0,0,0,0,0,0,14,14,0,0,0,0,0,31,59
S Aravind,0,2,0,9,15,0,5,0,0,14,14,0,0,0,59
WA Mota,30,15,0,0,0,0,0,9,0,2,0,0,0,0,56
K Rabada,0,0,0,0,11,0,0,44,0,0,0,0,0,0,55
M Rawat,8,0,9,0,27,0,6,1,0,0,0,0,4,0,55
TG Southee,4,0,8,25,1,0,0,6,0,0,7,0,0,3,54
RR Rossouw,15,0,0,0,0,0,0,24,0,0,0,0,0,14,53
A Chopra,0,35,13,0,2,0,0,1,0,0,0,0,2,0,53
AJ Tye,0,0,0,0,22,0,0,25,0,0,0,0,6,0,53
RP Singh,14,0,6,0,6,0,10,8,0,7,0,0,1,0,52
NM Coulter-Nile,5,0,0,0,9,0,9,9,0,6,6,2,6,0,52
Shoaib Malik,2,0,0,0,20,0,0,24,0,0,0,0,6,0,52
R Rampaul,0,0,12,0,0,0,0,23,0,16,0,0,0,0,51
KB Arun Karthik,5,0,5,0,6,0,1,31,0,3,0,0,0,0,51
RV Gomez,0,0,4,0,2,0,11,0,26,0,0,0,7,0,50
AS Yadav,0,0,12,0,0,0,10,0,0,16,0,0,11,0,49
AG Paunikar,0,20,5,0,0,0,24,0,0,0,0,0,0,0,49
SB Bangar,0,0,8,0,3,0,16,0,0,5,0,0,17,0,49
J Suchith,1,0,0,0,34,0,0,0,0,0,0,0,4,9,48
HV Patel,2,5,0,0,6,0,19,6,0,6,0,0,0,3,47
Yashpal Singh,0,0,13,0,0,0,0,8,0,26,0,0,0,0,47
Mohammed Shami,1,0,0,4,3,0,0,7,0,5,2,2,22,0,46
VR Aaron,0,0,0,0,28,0,5,7,0,0,0,0,0,6,46
CR Woakes,0,0,3,0,8,0,0,9,0,0,1,0,18,7,46
I Sharma,11,9,0,0,0,0,1,11,0,5,1,0,0,7,45
Sunny Singh,20,0,2,0,0,0,0,0,12,5,0,0,4,0,43
JDS Neesham,22,0,0,0,12,0,8,0,0,0,0,0,0,0,42
AB Barath,0,7,2,0,0,0,0,33,0,0,0,0,0,0,42
SK Trivedi,2,10,17,0,0,0,4,6,0,0,0,0,3,0,42
A Nehra,1,22,1,0,6,0,1,1,0,9,0,0,0,0,41
LPC Silva,0,0,0,0,23,0,0,17,0,0,0,0,0,0,40
BR Dunk,0,0,0,0,5,0,0,0,0,0,0,0,15,20,40
AUK Pathan,14,4,0,0,9,12,0,0,0,0,0,0,0,0,39
DJ Thornely,0,8,30,0,0,0,1,0,0,0,0,0,0,0,39
Umar Gul,0,0,0,0,24,0,0,0,0,9,0,0,6,0,39
MM Patel,0,5,24,0,0,0,9,0,1,0,0,0,0,0,39
SP Jackson,0,0,12,0,0,0,0,0,0,0,10,0,0,16,38
JO Holder,0,0,0,13,0,0,16,0,0,0,0,0,0,9,38
S Narwal,2,0,35,0,0,0,0,0,0,0,0,0,0,0,37
AN Ahmed,8,0,0,0,0,0,5,1,0,0,0,0,18,4,36
L Balaji,9,15,8,0,2,1,0,0,0,0,0,0,1,0,36
Joginder Sharma,0,16,4,0,0,0,0,16,0,0,0,0,0,0,36
KW Richardson,26,0,0,0,0,0,0,9,0,0,0,0,0,1,36
Sohail Tanvir,9,0,5,0,0,0,16,6,0,0,0,0,0,0,36
A Kumble,3,4,2,0,9,0,0,9,0,8,0,0,0,0,35
B Sumanth,16,0,7,0,6,0,0,0,0,0,0,0,6,0,35
